,driverId,forename,surname,code,number,raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,time_x,time_y,lap,position
75,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.821,19,5
76,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.794,20,5
77,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.977,21,5
78,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.796,22,5
79,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.987,23,5
80,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.924,24,5
81,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.760,25,5
82,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.810,26,5
83,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.831,27,5
84,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.907,28,5
